Name,Team,Dependencies Team,Docs URL,Repo URL,Hosted On
asset-manager,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/asset-manager.html,https://github.com/alphagov/asset-manager,aws
authenticating-proxy,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/authenticating-proxy.html,https://github.com/alphagov/authenticating-proxy,aws
bouncer,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/bouncer.html,https://github.com/alphagov/bouncer,aws
cache-clearing-service,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/cache-clearing-service.html,https://github.com/alphagov/cache-clearing-service,aws
calculators,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/calculators.html,https://github.com/alphagov/calculators,aws
ckanext-datagovuk,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/ckanext-datagovuk.html,https://github.com/alphagov/ckanext-datagovuk,aws
collections,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/collections.html,https://github.com/alphagov/collections,aws
collections-publisher,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/collections-publisher.html,https://github.com/alphagov/collections-publisher,aws
contacts-admin,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/contacts-admin.html,https://github.com/alphagov/contacts-admin,aws
content-data-admin,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/content-data-admin.html,https://github.com/alphagov/content-data-admin,aws
content-data-api,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/content-data-api.html,https://github.com/alphagov/content-data-api,aws
content-publisher,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/content-publisher.html,https://github.com/alphagov/content-publisher,aws
content-store,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/content-store.html,https://github.com/alphagov/content-store,aws
content-tagger,#govuk-platform-health,#govuk-platform-health,https://docs.publishing.service.gov.uk/apps/content-tagger.html,https://github.com/alphagov/content-tagger,aws
datagovuk_find,#govuk-platform-health,#govuk-datagovuk,https://docs.publishing.service.gov.uk/apps/datagovuk_find.html,https://github.com/alphagov/datagovuk_find,paas
